"State","State Code",Deaths,Population,Crude Rate
,"Alabama","01",425,4858979,8.747
,"Alaska","02",52,738432,7.042
,"Arizona","04",249,6828065,3.647
,"Arkansas","05",175,2978204,5.876
,"California","06",1433,39144818,3.661
,"Colorado","08",148,5456574,2.712
,"Connecticut","09",82,3590886,2.284
,"Delaware","10",55,945934,5.814
,"District of Columbia","11",105,672228,15.620
,"Florida","12",913,20271272,4.504
,"Georgia","13",609,10214860,5.962
,"Idaho","16",28,1654930,1.692
,"Illinois","17",714,12859995,5.552
,"Indiana","18",317,6619680,4.789
,"Iowa","19",51,3123899,1.633
,"Kansas","20",101,2911641,3.469
,"Kentucky","21",185,4425092,4.181
,"Louisiana","22",480,4670724,10.277
,"Maine","23",14,1329328,Unreliable
,"Maryland","24",452,6006401,7.525
,"Massachusetts","25",87,6794422,1.280
,"Michigan","26",462,9922576,4.656
,"Minnesota","27",99,5489594,1.803
,"Mississippi","28",293,2992333,9.792
,"Missouri","29",482,6083672,7.923
,"Montana","30",27,1032949,2.614
,"Nebraska","31",54,1896190,2.848
,"Nevada","32",141,2890845,4.877
,"New Hampshire","33",12,1330608,Unreliable
,"New Jersey","34",275,8958013,3.070
,"New Mexico","35",97,2085109,4.652
,"New York","36",418,19795791,2.112
,"North Carolina","37",485,10042802,4.829
,"North Dakota","38",16,756927,Unreliable
,"Ohio","39",518,11613423,4.460
,"Oklahoma","40",237,3911338,6.059
,"Oregon","41",102,4028977,2.532
,"Pennsylvania","42",543,12802503,4.241
,"Rhode Island","44",11,1056298,Unreliable
,"South Carolina","45",375,4896146,7.659
,"South Dakota","46",21,858469,2.446
,"Tennessee","47",428,6600299,6.485
,"Texas","48",1185,27469114,4.314
,"Utah","49",46,2995919,1.535
,"Vermont","50",11,626042,Unreliable
,"Virginia","51",304,8382993,3.626
,"Washington","53",168,7170351,2.343
,"West Virginia","54",55,1844128,2.982
,"Wisconsin","55",184,5771337,3.188
,"Wyoming","56",17,586107,Unreliable
